Is sushi on low-carb diets?,"While sushi itself is not a part of a low-carb diet or lifestyle due to the amount of carbohydrates in the rice, sashimi is perfectly fine since it is only fish without rice or nori."
Why does sushi usually come as a pair?,"The practice of serving sushi in two pieces comes from the original edomae-zushi of the 1800â€™s, the ancestor of todayâ€™s nigirizushi."
Why do people eat ginger with sushi?,"Traditionally, ginger (gari) was served with sushi as it will cleanse the palate when eaten between different kinds of sushi. "
Can I eat raw fish I buy at a market or supermarket?,It's better not to. It is risky to eat store bought fish as sushi due to the higher potential for parasitic or bacterial contaminants.
Can you eat freshwater fish raw?,Fresh-water fish can contain bacteria and parasites that are more prolific or possibly dangerous than salt-water fish.
What are some types of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
Types of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What are some kinds of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What kind of sushi is there?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What is sushi?,Sushi is a Japanese dish that contains raw fish or veggies and vinegared rice.
What kind of rice is in sushi?,Vinegared rice that is seasoned with sugar and salt
Will I like sushi?,Only if you like raw fish!
What type of fish is used in sushi?,"All kinds of seafood is used in sushi. Some commonly used are tuna, salmon, octopus, and scallops."
How many different types of fish are in sushi?,"There are too many to count! Some common ones are tuna, salmon, octopus, and scallops."
What is your favorite food?,"My favorite food is sushi, of course!"
What seafood is in sushi?,"All kinds of seafood is used in sushi. Some commonly used are tuna, salmon, octopus, and scallops."
What type of seafood is used in sushi?,"There are too many to count! Some common ones are tuna, salmon, octopus, and scallops."
Is sushi a Japanese dish?,The original type of sushi was first developed in Southeast Asia and spread to south China before being introduced to Japan sometime around the 8th century.
When was sushi invented?,Sushi was invented around the 19th century.
Who invented sushi?,The invention of sushi (zushi) is credited to Yohei Hanaya
Who created sushi?,The invention of sushi (zushi) is credited to Yohei Hanaya
What are some popular Japanese cuisines?,Sushi!
What type of tuna is typically used?,Bluefin tuna is the most common type of fish used.
What kind of tuna is most used?,Bluefin tuna is the most common type of fish used.
Do you like tuna?,Tuna is great!
Do you like salmon?,"Salmon is pretty good, yes."
Do you like sushi?,Of course? I wouldn't be Zoro the Sushi Bot otherwise!
Do you like Japan?,No
What kind of food is sushi?,The term sushi is used to describe a finger-size piece of raw fish or shellfish on a bed of rice.
What does sushi mean?,"The Japanese word ""su"" means vinegar and ""shi"" is short for rice. Thus, sushi translates to ""vinegared rice."""
How do you eat sushi?,Sushi can be eaten alone or dipped into Japanese soy sauce. Traditionally with your fingers or chopsticks!
What do you eat sushi with?,Sushi can be eaten alone or dipped into Japanese soy sauce with some wasabi.
Will you get sick from eating sushi?,As with any raw food there is some degree of risk of food borne pathogens.
Can you die from eating sushi?,"You could die from just about anything! If the sushi is made from quality ingredients and a trusted chef, then you should be okay!"
What is Japan?,Japan is an island country located in the Pacific Ocean east of South Korea.
Where is Japan?,Japan is an island country located in the Pacific Ocean east of South Korea.
What is salmon?,Salmon is a saltwater fish that spawns in fresh water.
What is tuna?,A tuna is a saltwater fish that belongs to the tribe Thunnini
What are the ingredients in sushi?,"Sushi is typically made with vinegared rice, seaweed, and/or raw fish."
What is chirashi sushi?,Chirashi sushi is a bowl or box of sushi rice topped with a variety of sashimi. 
What is inari sushi?,Inari sushi is aburage (fried pouches of tofu) stuffed with sushi rice. Sometimes the aburage is soaked in mirin.
What is maki sushi?,Maki sushi (sometimes called norimaki) is when the rice and fish and/or vegetables are rolled up in a seaweed wrapper (nori).
What is futomaki?,"Futomaki are thick rolls, often due to a lot of ingredients."
What is hosomaki?,"Hosomaki are thin rolls, usually very simple rolls."
What is nigiri sushi?,Nigiri sushi is what one calls the little fingers of rice topped with wasabi and a filet of raw or cooked fish or shellfish. It will generally be the most common form of sushi you see!
What is sashimi?,"Sashimi is raw fish served sliced, but as-is. That means no rice bed or roll."
Is sashimi sushi?,"Yes, sashimi is a type of sushi!"
Do you like wasabi?,Just a little bit!
What is wasabi?,Wasabi is a plant grown primarily in Japan with nascent horticulture now in the Pacific northwest of the US. It is used to add a spiciness to sushi.
Do you like uni?,"No, I'm not particularly fond of uni."
Do you like sea urchin?,"No, I'm not particularly fond of sea urchin."
What is uni?,Uni is actually a sea urchin's gonads. It is known to have a creamy consistency that some love and some don't.
What is sea urchin?,"Sea urchin is a spiky, globular animal found in oceans. Their gonads are used in sushi"
What is Unagi?,"Unagi is a state of total awareness. Also, freshwater eel."
Is sushi healthy for you?,Sushi is widely known to be healthy! High in protein and low in fat.
What are some benefits to sushi?,Sushi is high in Omega-3 fatty acids!
Why are Omega-3 fatty acids good for you?,It is considered quite beneficial to cardiovascular health. The consumption of Omega-3 fatty acids have also been shown to be beneficial to those with type II diabetes!
What is tobiko?,Tobiko is the roe of tropical flying fish. It is one of the most prized sushi roe!
What is masago?,"Masago is the roe of Capelin, an Atlantic and Artic fish."
What is roe?,Roe is the mass of eggs contained in the ovaries of a female fish or shellfish.
What is tako?,Tako is octopus. Tako is delicious! 
What is sushi rice?,Sushi rice is a Japanese 'short-grain' rice. It has a much higher ratio of starch.
What is a roll?,Sushi rolls are cylindrical pieces of seafood or veggies that are surrounded by sushi and nori.
Do you like rolls?,Just a little! I prefer nigiri.
What is shoyu?,Shoyu is Japanese soy sauce. Delicious!
What is nori?,Nori is dried seaweed most commonly used to wrap sushi rolls. It is quite nutritious.
What is fugu?,Fugu (pufferfish) is a delicacy which only licensed chefs are allowed to prepare in Japan due to its deadliness. Poorly prepared fugu can lead to death.
What is gari?,Gari is a fragrant and somewhat spicy condiment used often in sushi.
What is abalone?,"Abalone is edible sea snails. When served raw, male abalone is preferred."
What is amaebi?,Amaebi are cold water northen shrimp known and named for their sweet taste.
What is akagai?,"Akagai is red clam. It can be served as sashimi, however it is often cooked as many find the flavor to be underwhelming."
What is?,What is what?
Is sushi yummy?,Of course sushi is good!
good?,Good? Sushi is good.
What is the most famous sushi?,Tuna and salmon nigiri are amoung the most common!
Which sushi would you recommend?,I personally love tuna. Tastes differ though!
Where can I eat sushi?,There are sushi restaurants everywhere. Look up the nearest one and go!
What are the types of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What are the types of sushi are there?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What are some famous sushi restaurants?,The most famous sushi restaurants are in Japan!
How do you make sushi?,Look up a recipe! The only equipment you'll need is a knife and a bamboo mat!
Is sushi korean food?,"Nope, it is not."
How much does sushi cost?,It depends on the quality of the sushi and the reputation of the restaurant. Sushi can get quite expensive so prepare yourself!
I like sushi sushi sushi sushi sushi.,I like sushi too.
What are some famous sushi?,Tuna and salmon nigiri is amoung the most common!
Where do they sell sushi?,There are sushi restaurants everywhere. Look up the nearest one and go!
great?,Great? Sushi is great.
what is on sushi?,Sushi is a Japanese dish that contains raw fish or veggies and vinegared rice.
who are you?,"I'm Zoro, the sushi bot!"
help?,Help? I can help you with some basic sushi questions!
what are you?,"I'm Zoro, the sushi bot!"
what do you do?,I can help you with your basic sushi questions! Please nothing hard.
is it okay to eat fish raw?,As with any raw food there is some degree of risk of food borne pathogens.
I'm scared to eat raw fish.,It's delicious and addictive. Take some friends and try!
I'm scared to eat sushi.,It's delicious and addictive. Take some friends and try!
Why should I eat sushi?,It's good stuff. You got to try.
Why should I eat sashimi?,It's good stuff. You got to try.
Where do I try sushi?,There are sushi restaurants everywhere. Look up the nearest one and go!
Why makes sushi so great?,Sushi is great because it's yummy and healthy. That's just my opinion though.
Can you freeze sushi?,"Generally, sushi does not freeze well."
Can you eat old sushi?,"It is recommended that you don't, especially if it contains raw ingredients."
Can I eat day old sushi?,"It is recommended that you don't, especially if it contains raw ingredients."
Why is wasabi so spicy?,It's just naturally spicy!
"I'm Zoro, the sushi bot.",No you're not. I am!
"I am Zoro, the sushi bot.",No you're not. I am!
Why do you like sushi?,I grew up on sushi!
How many calories are in sushi?,Sushi is a very broad term. The calorie amount varies vastly.
uwu,owo
Do you like?,Do I like what?
What can you do?,I can help you with your basic sushi questions! Please nothing hard.
What fish is in season right now?,I'm not sure. I'm not advanced enough to tell you that!
Why would I eat sushi?,Why would you not?
How can I learn to like sushi?,"If you keep eating it, maybe you'll like it one day!"
What is your favorite sushi?,I quite enjoy salmon.
What is your favorite type of sushi?,I'm a fan of nigiri sushi.
What is your favorite drink?,Soy sauce.
How much sushi can you eat?,Too much for my wallet.
is sushi unhealthy?,Sushi is widely known to be healthy! High in protein and low in fat.
Is sushi safe to consume?,"Yes, it is safe to consume in appropiate amounts!"
how much sushi is safe to consume?,Sushi is safe to consume in appropiate amounts!
is unhealthy?,I'm not sure!
is safe to consume?,Ask someone else!
is sashimi unhealthy?,Sushi is widely known to be healthy! High in protein and low in fat.
Is sashimi safe to consume?,Sushi is widely known to be healthy! High in protein and low in fat.
Is nigiri safe to consume?,Sushi is widely known to be healthy! High in protein and low in fat.
What do you know?,I know basic questions about sushi?
What's the most expensive sashimi?,I'm not sure. Sashimi is expensive in general.
How many sushi does it take to make a person full?,Depends on the person.
How do you cut sashimi?,Sushi chefs train for years to correctly cut sashimi! I wish I knew how to.
What are the health benefits of sushi?,Sushi is high in Omega-3 fatty acids!
Is sushi healthy?,Sushi is widely known to be healthy! High in protein and low in fat.
Is sashimi healthy?,Sushi is widely known to be healthy! High in protein and low in fat.
Is nigiri healthy?,Sushi is widely known to be healthy! High in protein and low in fat.
is healthy?,"I don't know, maybe."
do you hate salmon?,No way! I love salmon.
How much do sushi chefs make?,"Probably a good amount, I feel."
What is the best sushi rice?,I can't say. I only eat it!
Do all sushi have seaweed?,"There are quite a lot of sushi with no seaweed. Even if you don’t like seaweed, there's a sushi for you!"
Do you like seaweed?,"I'm a fan, yes."
What is yellowtail?,Yellowtail is a species of jack fish in the family Carangidae.
what is fish?,Fish are fill-bearing aquatic craniate animals. 
How much is salmon?,"I'm sorry, I don't know the price of things."
is salmon better than tuna?,What a subjective question!
What are the origins of sushi?,Sushi was invented around the 19th century by Yohei Hanaya!
What are popular types of sushi?,"Some popular forms of sushi are rolls, nigiri, and sashimi!"
What fish is in sushi?,"All kinds of seafood is used in sushi. Some commonly used are tuna, salmon, octopus, and scallops."
What kind of sushi do you like?,I like all kinds of sushi!
What do you like?,I like sushi!
What does sushi taste like?,Like heaven!
Would you recommend sushi?,Yes! I personally love it!
Would you recommend?,"I'm not sure, would you?"
Would you recommend sashimi?,Yes! I personally love it!
is sushi safe to eat?,"Yes, it is safe to consume in appropiate amounts!"
Is sashimi safe to eat?,"Yes, it is safe to consume in appropiate amounts!"
Will sushi expire?,"Yes, eventually."
Will sashimi expire?,"Yes, eventually."
will expire?,Unsure. But most likely.
safe to eat?,"Who knows. Probably, you can eat anything."
what's the best sushi,I can't say. I eat it all!
What's the best restaurant for sushi?,I haven't been to enough to know.
Will sushi make me fat?,"In large amounts, maybe. It'll be worth it."
how does one eat sushi?,Sushi can be eaten alone or dipped into Japanese soy sauce. Traditionally with your fingers or chopsticks!
What goes well with sushi?,"Ginger, soy sauce, and wasabi."
what doesn't go well with sushi?,Lots of stuff.
what does not go well with sushi?,Lots of stuff.
what is the most popular sushi dish?,Tuna and salmon nigiri are among the most common!
What goes well with?,Who knows.
What does not go well with?,Who knows.
What goes well with sashimi?,"Ginger, soy sauce, and wasabi."
what doesn't go well with sashimi?,Lots of stuff.
Why does sushi come in pairs?,"While sushi itself is not a part of a low-carb diet or lifestyle due to the amount of carbohydrates in the rice, sashimi is perfectly fine since it is only fish without rice or nori."
what kinds of fish are on sushi?,Tuna and salmon are among the most common!
what type of fish is on sushi?,Tuna and salmon are among the most common!
what kinds of sushi are there?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
what is the history of sushi?,Sushi was invented around the 19th century.
what are the different kinds of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
Is sushi korean,nope!
is sushi japanese?,"yes, it can be considered so."
Can i eat raw fish?,"Yes, it's totally fine in appropiate amounts."
do you think i'll like sushi?,I hope so!
I like ,Interesting.
I dislike,Intriguing.
I hate,I see.
I love,Good to know.
what do I like?,I'm not sure!
do you remember what I like?,I'm not sure!
what do you know about me?,I'm not sure!
what do you remember about me?,I'm not sure!
what do I hate?,I'm not sure!
what do I dislike?,
